,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
311,DELTA 1 DEB [YO],7075.5,0.019715921136315456,58.25
317,THOR ABLESTAR DEB,6895.5,0.0034080197230077587,66.54
319,THOR ABLESTAR DEB,7174.0,0.013102871480345692,66.91
322,THOR ABLESTAR DEB,7219.5,0.007964540480642704,66.84
323,THOR ABLESTAR DEB,7230.0,0.00636237897648686,66.87
324,THOR ABLESTAR DEB,7199.5,0.00548649211750816,66.91
326,THOR ABLESTAR DEB,7305.0,0.01136208076659822,66.54
328,THOR ABLESTAR DEB,7392.5,0.01088941494758201,66.78
329,THOR ABLESTAR DEB,7254.5,0.005720587221724447,66.98
332,THOR ABLESTAR DEB,7036.5,0.003481844667093015,66.71
333,THOR ABLESTAR DEB,7301.5,0.008149010477299184,66.92
334,THOR ABLESTAR DEB,7201.5,0.004651808650975491,66.84
335,THOR ABLESTAR DEB,7381.5,0.00833163991058728,67.03
336,THOR ABLESTAR DEB,7357.5,0.010261637784573565,67.01
339,TELSTAR 1,9670.5,0.24223152887648003,44.8
340,DELTA 1 R/B,9661.0,0.24179691543318496,44.79
349,THOR ABLESTAR DEB,7197.0,0.013338891204668612,66.92
350,THOR ABLESTAR DEB,7043.5,0.001774685880599134,66.75
353,THOR ABLESTAR DEB,7453.5,0.016301066613000605,67.07
354,THOR ABLESTAR DEB,7512.5,0.024958402662229616,67.22
356,THOR ABLESTAR DEB,7246.5,0.0018629683295383979,66.81
368,FTV 3502,6979.5,0.008381689232753063,98.53
396,TIROS 6,6967.0,0.001291804219893785,58.3
401,THOR ABLESTAR DEB,7084.0,0.0021174477696216825,66.66
402,THOR ABLESTAR DEB,7338.5,0.002793486407303945,66.84
403,THOR ABLESTAR DEB,7672.5,0.0555881394591072,66.47
404,THOR ABLESTAR DEB,7390.5,0.009133346864217576,66.89
405,THOR ABLESTAR DEB,7382.5,0.011310531662715883,66.78
406,THOR ABLESTAR DEB,7016.0,0.004703534777651083,66.31
407,THOR ABLESTAR DEB,7355.0,0.006934058463630184,66.79
408,THOR ABLESTAR DEB,7181.5,0.007310450462995196,66.72
409,THOR ABLESTAR DEB,7354.5,0.0008838126317220749,66.69
413,THOR ABLESTAR DEB,7351.5,0.004284839828606407,66.44
415,THOR ABLESTAR DEB,7224.5,0.008097446190047755,66.52
416,THOR ABLESTAR DEB,7205.5,0.007286100895149539,66.75
419,THOR ABLESTAR DEB,7163.5,0.009003978502128848,66.81
423,ALOUETTE 1 (S-27),7379.5,0.002371434379022969,80.47
425,THOR AGENA B R/B,7382.5,0.0018286488316965797,80.47
445,ANNA 1B,7504.5,0.006995802518488907,50.14
446,THOR ABLESTAR R/B,7490.5,0.0066083706027635,50.13
460,THOR ABLESTAR DEB,7012.0,0.0037079292641186536,67.51
