,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
2119,SCOUT A R/B,7368.5,0.014996267897129673,89.82
2122,OV1-5 R/B,7392.5,0.00466689212039229,144.64
2123,OV1-4 R/B,7315.0,0.008065618591934382,144.51
2143,ATLAS AGENA D R/B,7123.0,0.0007019514249613927,35.04
2173,THOR AGENA B R/B,7501.5,0.005665533559954676,100.32
2179,SCOUT A R/B,7269.5,0.00804732099869317,90.22
2205,SCOUT B R/B,9015.0,0.2211869107043816,40.87
2221,TITAN 3C TRANSTAGE R/B,40448.0,0.0161689082278481,7.17
2254,THOR AGENA D R/B,10606.5,0.004949794937066893,86.94
2327,ATLAS D R/B,7378.0,0.0010843046896177825,144.23
2412,SCOUT A R/B,7444.0,0.0033584094572810318,88.87
2421,THOR BURNER 2 R/B,7118.0,0.011098623208766508,98.17
2435,DELTA 1 R/B,7810.5,0.0064656552077331795,100.95
2528,LES-2 AKM,15166.0,0.3968086509297112,32.21
2620,OV1-10 R/B,6996.0,0.006003430531732418,93.4
2621,OV1-9 R/B,8819.5,0.22297182379953512,99.09
2642,DELTA 1 R/B(2),16819.5,0.6023663010196498,25.94
2659,TITAN 3C TRANSTAGE R/B,40056.5,0.0029333566337548214,11.37
2660,DELTA 1 R/B,7768.0,0.006436663233779609,102.01
2670,DIAMANT R/B,7163.0,0.03434315231048443,39.95
2681,DIAMANT R/B,7522.0,0.07498005849508109,39.46
2740,THOR BURNER 2 R/B,7174.0,0.00515751324226373,98.91
2754,SCOUT A R/B,7436.0,0.002555137170521786,90.25
2757,DELTA 1 R/B,7764.5,0.004056925751819177,101.91
2769,TITAN 3C TRANSTAGE R/B,66219.0,0.7882782887086788,17.83
2801,SL-8 R/B,7120.5,0.00653044027807036,74.01
2810,SCOUT A R/B,7453.0,0.0018784382128002146,89.68
2824,THOR AGENA D R/B,7280.5,0.0010301490282260833,69.97
2867,TITAN 3C TRANSTAGE R/B,39905.0,0.008294699912291693,1.01
2876,THOR BURNER 2 R/B,10249.5,0.006780818576515928,90.02
2939,THOR BURNER 2 R/B,7214.0,0.003742722484058775,98.56
2966,SCOUT A R/B,7442.0,0.004837409298575652,89.23
2970,DELTA 1 R/B(2),19582.5,0.6594408272692455,28.08
2984,THOR BURNER 2 R/B,7047.5,0.008584604469670095,99.13
3035,DELTA 1 R/B,7825.5,0.0047920260686218135,102.03
3047,SL-8 R/B,7064.5,0.0007785405902753203,74.01
3093,DELTA 1 R/B,7698.5,0.03136974735338053,105.8
3130,SL-8 R/B,7570.5,0.0015190542236312,74.05
3136,SCOUT A R/B,7449.5,0.007718638834821129,90.02
3176,OV1-14 R/B,11568.0,0.40015560165975106,99.99
3211,OV1-13 R/B,11242.0,0.38053727094822987,99.95
3229,SL-8 R/B,6952.0,0.0028768699654775605,74.03
3270,THOR BURNER 2 R/B,7212.5,0.005199306759098787,98.55
3291,TITAN 3C TRANSTAGE R/B,40736.0,0.017208366064414768,6.31
3314,DELTA 1 R/B,9582.0,0.2637236485076184,120.68
3340,SCOUT B R/B,7945.5,0.11182430306462778,80.66
3345,DELTA 1 R/B,7824.5,0.0023643683302447442,101.44
3431,TITAN 3C TRANSTAGE R/B,41819.5,0.009481222874496348,1.05
3521,THOR BURNER 2 R/B,7168.0,0.0029296875,98.73
3576,SL-8 R/B,7566.0,0.0035685963521015066,74.05
3597,ATLAS CENTAUR R/B,7083.0,0.0048002258929831995,34.99
3615,DELTA 1 R/B,7836.5,0.0013398838767306833,101.6
3669,DELTA 1 R/B,8311.5,0.16356854959995187,88.46
3691,TITAN 3C TRANSTAGE R/B,42949.5,0.017124762802826574,0.38
3766,DELTA 1 R/B,7836.5,0.00504051553627257,101.42
3818,SL-8 R/B,7564.0,0.0010576414595452142,73.99
3826,OV1-19 R/B,9295.5,0.26136302511968157,104.77
3891,THORAD AGENA D R/B,7479.5,0.0039441139113577115,99.92
3955,TITAN 3C TRANSTAGE R/B,70684.5,0.812448273666787,15.76
4047,THOR BURNER 2 R/B,7163.5,0.004257695260696587,98.37
4068,ATLAS CENTAUR R/B,26193.0,0.6692627801320964,17.44
4070,SL-8 R/B,7055.0,0.0012756909992912829,74.05
