,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
1587,COSMOS 90,7907.5,0.015618084097375909,56.05
1612,OV1-2,7669.5,0.11663081035269575,144.23
1640,OV2-1 & LCS 2,7090.0,0.0018335684062059238,32.3
1725,EXPLORER 29 (GEOS 1),8072.0,0.07160555004955402,59.38
1737,EXPLORER 30,7132.5,0.01310900806168945,59.71
1777,A-1 (ASTERIX),7456.0,0.07443669527896996,34.26
1803,ALOUETTE 2,7939.0,0.13351807532434815,79.8
1805,EXPLORER 31 (ISIS-X),8027.0,0.14289273701258254,79.77
1813,FR 1,7040.0,0.0004261363636363636,75.87
1863,OPS 1509 (TRANSIT 10),7346.5,0.010821479616143742,89.06
1951,OPS 1593 (TRANSIT 11),7385.5,0.022002572608489607,90.16
1981,ESSA 1 (OT-3),7110.5,0.007945995358976162,97.9
2015,DIAPASON (D1-A),7785.5,0.11681972898336651,34.09
2090,ESSA 2 (OT-2),7762.5,0.00392914653784219,101.24
2118,OPS 1117 (TRANSIT 12),7359.5,0.014878728174468375,89.62
2120,OV1-4,7316.5,0.00840565844324472,144.5
2121,OV1-5,7391.5,0.004802814043157681,144.63
2124,OPS 0340,7074.0,0.0151258128357365,97.99
2141,OAO 1,7155.5,0.0006288868702396757,35.04
2149,OPS 1527 (OV3-1),7879.5,0.14855003490069166,82.37
2172,NIMBUS 2,7511.0,0.005458660631074424,100.58
2175,OPS 0082 (TRANSIT 13),7258.5,0.006544051801336364,90.22
2200,OPS 1427 (OV3-4),9041.0,0.22353721933414444,40.89
2206,OPS 9381 (GGTS),40127.5,0.002878325337985172,7.5
2214,OPS 9311 (IDSCS 1),40151.0,0.003063435530870962,7.51
2215,OPS 9312 (IDSCS 2),40165.5,0.003273954015261854,7.49
2216,OPS 9313 (IDSCS 3),40189.0,0.0036328348553086665,7.47
2217,OPS 9314 (IDSCS 4),40231.0,0.004424448808133032,7.38
2218,OPS 9315 (IDSCS 5),40278.5,0.005325421751058257,7.37
2219,OPS 9316 (IDSCS 6),40338.5,0.006581801504765918,7.26
